UOID,Parent,Label,OrgName,ProgramName,Adjusted,Normalized,Outcomes,CPO,Efficacy,Evidence,Definition,OtherOutcomes,Budget,Reach,Type
12153,Z08.02.02,LOFT Community Services,LOFT Community Services,Transitional Age Youth Program,536,0.37%,536,"$3,464 ",65.00%,Reliable,,Personal Well-Being; Access to Services and Supports; Reduce Substance Abuse; Reduce Risky Behavior,"$1,856,830 ",825 individuals,Program
12154,Z03.05.04,Milton Transitional Housing C…,Milton Transitional Housing Corp,Partnership Development,100,0.03%,14,"$2,857 ",100.00%,Needs Improvement,,Housing Stability,"$40,000 ",14 households,Program
12155,Z12.01.04,Ndinawemaaganag Endaawaad Inc.,Ndinawemaaganag Endaawaad Inc.,650 Burrows,760,0.47%,760,$177 ,69.10%,Reliable,,None Listed,"$134,280 ","1,100 individuals",Program
12156,Z12.01.04,Outward Bound Canada,Outward Bound Canada,National Indigenous Youth Leadership Program,128,0.08%,128,"$6,517 ",71.90%,Reliable: Best in Class,,Job Readiness; High School Completion,"$834,135 ",178 individuals,Program
12158,Z12.01.04,Art Starts,Art Starts,United Through Art,100,0.06%,29,$724 ,85.30%,Needs Improvement,,Civic Engagement,"$21,000 ",34 individuals,Program
12164,Z05.02.03,University at Buffalo Foundat…,"University at Buffalo Foundation, Inc.",The Allstate Minority and Women Emerging Entrepreneurs (MWEE) Program,100,0.05%,39,"$1,863 ",100.00%,Needs Improvement,,Scale Effective Strategies; Organizational Efficiency; Organizational Effectiveness; Business Growth; Job Creation,"$72,660 ",39 individuals,Program
12166,Z06.04.01,We Care Solar,We Care Solar,We Share Solar - Global STEM Education and Solar Suitcases for Education,5000,2.01%,"5,035",$230 ,69.00%,Reliable,,Effective Teachers; STEM Proficiency; STEM Persistence; Engaging Classroom and Resources,"$1,157,810 ","7,298 individuals",Program
12171,Z05.02.03,National Urban League,National Urban League,Entrepreneurship Center Program,5000,2.41%,"10,000",$130 ,100.00%,Needs Improvement,,Business Growth; Job Creation,"$1,300,000 ","10,000 individuals",Program
12172,Z12.01.03,The Dori Slosberg Foundation …,The Dori Slosberg Foundation DBA Dori Saves Lives,Dori Saves Lives Foundation: Driver Education,5000,3.11%,"500,000",$1 ,100.00%,Needs Improvement,,Civic Engagement; Social and Emotional Skills; Improved Academic Performance; Academic Habits of Mind; Development of Tools for Active Learning,"$250,000 ","500,000 individuals",Program
12173,Z05.02.01,U.S. Pan Asian American Chamb…,U.S. Pan Asian American Chamber of Commerce Education Foundation,C-Suite Executive Academy,100,0.05%,45,"$1,111 ",46.40%,Needs Improvement,,High Quality Leadership; Organizational Effectiveness,"$50,000 ",97 organizations,Program
12174,Z05.04.03,HomeFree-USA,HomeFree-USA,Center for Financial Advancement,110,0.05%,110,"$9,091 ",91.70%,Reliable: Best in Class,,Financial Literacy,"$1,000,000 ",120 individuals,Program
12175,Z03.04.03,Habitat for Humanity Internat…,Habitat for Humanity International,2018 Carter Work Project,100,0.03%,41,"$14,634 ",100.00%,Needs Improvement,,None Listed,"$600,000 ",41 households,Program
12178,Z05.02.01,U.S. Pan Asian American Chamb…,U.S. Pan Asian American Chamber of Commerce Education Foundation,Business Leadership Series,5000,2.41%,"9,471",$14 ,20.00%,Needs Improvement,,A Culture of Innovation,"$135,000 ","47,353 organizations",Program
12180,Z05.04.02,Housing Partnership Network,Housing Partnership Network,Framework,5000,2.41%,"219,114",$14 ,100.00%,Needs Improvement,,Financial Literacy,"$2,965,000 ","219,114 individuals",Program
12182,Z05.04.01,Housing Partnership Network,Housing Partnership Network,Promoting the Family Self Sufficiency Program,5000,2.41%,"22,500",$5 ,30.00%,Needs Improvement,,Pass Legislation,"$114,000 ","75,000 households",Program
12183,Z05.02.03,National LGBT Chamber of Comm…,National LGBT Chamber of Commerce (NGLCC),NGLCC Supplier Innovation Center,500,0.24%,500,$320 ,76.90%,Needs Improvement,,Business Growth,"$160,000 ",650 organizations,Program
12184,Z05.02.03,National LGBT Chamber of Comm…,National LGBT Chamber of Commerce (NGLCC),California Infrastructure Development,250,0.12%,250,$160 ,25.00%,Needs Improvement,,Local Economic Growth,"$40,000 ","1,000 organizations",Program
12185,Z05.02.03,National LGBT Chamber of Comm…,National LGBT Chamber of Commerce (NGLCC),Eastern Road Show,150,0.07%,150,$167 ,7.50%,Needs Improvement,,Local Economic Growth,"$25,000 ","2,000 organizations",Program
12187,Z05.02.03,National LGBT Chamber of Comm…,National LGBT Chamber of Commerce,LGBTBE Development Fund,100,0.05%,90,$667 ,72.00%,Needs Improvement,,None Listed,"$60,000 ",125 organizations,Program
12210,Z05.03.06,NPower Canada,NPower Canada,NPower Canada,321,0.16%,321,"$8,347 ",81.30%,Reliable,,Job Readiness,"$2,679,381 ",395 individuals,Program
12211,Z06.02.02,Oakville Parent-Child Centre,Oakville Parent-Child Centre,Enhanced Learning Program,100,0.04%,40,$750 ,100.00%,Reliable,,None Listed,"$30,000 ",40 individuals,Program
12213,Z06.05.02,Seneca College of Applied Art…,Seneca College of Applied Arts and Technology,Youth to Postsecondary Education (Y2P) Program,100,0.04%,22,"$3,596 ",47.80%,Needs Improvement,,Career Access and Readiness,"$79,113 ",46 individuals,Program
12214,Z06.03.01,Take a Hike Youth at Risk Fou…,Take a Hike Youth at Risk Foundation,Take a Hike Program,100,0.04%,71,"$22,930 ",88.80%,Needs Improvement,,Social and Emotional Skills; High School Completion; Improved Academic Performance; Manage Mental Health; Civic Engagement,"$1,628,000 ",80 individuals,Program
12215,Z06.03.01,Boundless Adventures Associat…,Boundless Adventures Association,Expansion of educational programs to serve struggling youth,100,0.04%,25,"$66,000 ",100.00%,Needs Improvement,,Social and Emotional Skills; Manage Mental Health,"$1,650,000 ",25 individuals,Program
12216,Z12.01.04,"Trails Youth Initiatives, Inc.","Trails Youth Initiatives, Inc.","Four Seasons, Four Years, For Life",116,0.07%,116,"$6,826 ",100.00%,Reliable: Best in Class,,Civic Engagement; Independent Living Skills; Reduce Risky Behavior; School Engagement and Persistence; Academic Habits of Mind,"$791,852 ",116 individuals,Program
12217,Z06.03.01,World Bicycle Relief,World Bicycle Relief,"Improving Gender Attitudes, Transition and Education Outcomes Transition Project (IGATE-T)",4328,1.74%,"4,328",$18 ,100.00%,Needs Improvement,,None Listed,"$78,334 ","4,328 individuals",Program
12220,Z08.04.05,"YWCA Durham ""The Oshawa Young…","YWCA Durham ""The Oshawa Young Women's Christian Association""",Y's WISH Shelter,1355,0.94%,"1,355",$602 ,100.00%,Needs Improvement,,Prevent Intimate Partner Violence; Identify and Refer Survivors; Access to Legal and Financial Support; Manage Mental Health; Reduce Child Abuse and Neglect Recurrence,"$815,781 ","1,355 individuals",Program
12222,Z05.02.03,Business in the Streets,Business in the Streets,BITS + UforChange Collaborative Workspace,100,0.05%,80,"$2,200 ",80.00%,Reliable,,Business and Enterprise Development; Career Advancement; Acquire Employment; Job Readiness; Business Growth,"$176,000 ",100 individuals,Program
12225,Z03.03.02,Community Food Centres Canada,Community Food Centres Canada,Programming which facilitates increasing access to healthy food & building healthy food skills,2625,0.68%,"2,625",$133 ,75.00%,Reliable: Best in Class,,Access to Nutritious Food; Healthy Food Consumption and Behaviour,"$350,000 ","3,500 individuals",Program
12226,Z12.01.04,Dixon Hall,Dixon Hall,Dixon Hall Girls' Youth Program,300,0.19%,300,$400 ,95.50%,Reliable,,Independent Living Skills; Reduce Risky Behavior,"$120,000 ",314 individuals,Program
12228,Z06.05.04,Eva's Initiatives for Homeles…,Eva's Initiatives for Homeless Youth,Education Program,235,0.09%,235,$689 ,100.00%,Needs Improvement,,Housing Stability; Career Access and Readiness; College Access and Readiness; Academic Habits of Mind,"$162,013 ",235 individuals,Program
12229,Z03.05.04,Eva's Initiatives for Homeles…,Eva's Initiatives for Homeless Youth,Family Reconnect Program,146,0.04%,146,"$5,389 ",100.00%,Needs Improvement,,Reduce Homelessness,"$786,848 ",146 individuals,Program
12234,Z08.05.05,Horizons of Friendship,Horizons of Friendship,"Working with girls, boys, and adolescents in Totonicapán",637,0.44%,637,$110 ,83.10%,Reliable: Best in Class,,Reduce Incidence of STIs and STDs; Reduce Unwanted Teen Pregnancy; Reduce Risky Behavior,"$70,327 ",767 individuals,Program
12235,Z08.05.02,Horizons of Friendship,Horizons of Friendship,Increasing the MNCH knowledge of women and their families,5000,3.45%,"20,399",$24 ,45.40%,Needs Improvement,,Infant Health,"$488,240 ","44,932 individuals",Program
12237,Z05.03.01,United Way Greater Toronto,United Way Greater Toronto,Career Navigator Labour Education Center,100,0.05%,36,"$7,624 ",100.00%,Reliable,,Acquire Employment,"$274,466 ",36 individuals,Program
12238,Z06.03.01,Lakehead University,Lakehead University,Achievement Program,108,0.04%,108,$833 ,93.10%,Needs Improvement,,Social and Emotional Skills; College Access and Readiness; High School Completion,"$90,000 ",116 individuals,Program
12239,Z05.04.02,Safe+Sound Somerset,Safe+Sound Somerset,Financial Empowerment Center & Financial Case Management,159,0.08%,159,"$1,509 ",100.00%,Needs Improvement,,"Identify and Refer Survivors; Survivor Well-being, Independence, and Financial Empowerment; Housing Stability; Economic Well-Being; Financial Resilience","$240,000 ",159 individuals,Program
12240,Z12.01.03,Southeastern Chapter National…,Southeastern Chapter National Safety Council,Alive at 25,5000,3.11%,"11,985",$70 ,85.00%,Reliable,,Social and Emotional Skills,"$842,525 ","14,105 individuals",Program
12241,Z12.01.02,The Massey Centre for Women,The Massey Centre for Women,Residential and Transitional Housing Program for Adolescent Mothers,100,0.06%,48,"$1,638 ",96.00%,Reliable: Best in Class,,Access to Temporary Housing; Reduce Homelessness; Infant Health; Maternal Health; Prevent Literal Homelessness through Housing Stabilization,"$78,600 ",50 individuals,Program
12242,Z08.04.05,The Fair Housing Agency of Al…,The Fair Housing Agency of Alabama,Economic Empowerment / Financial Literacy for DV Victims and Under Resourced Communities,4359,3.01%,"4,359",$45 ,50.90%,Reliable,,Financial Resilience; Financial Literacy,"$194,300 ","8,567 individuals",Program
12243,Z03.05.02,Our Place Peel,Our Place Peel,Transitional Housing Program,100,0.03%,29,"$7,517 ",100.00%,Needs Improvement,,Personal Well-Being,"$218,000 ",29 individuals,Program
12246,Z06.03.03,York University,York University,Readers to Leaders,100,0.04%,36,"$2,111 ",100.00%,Needs Improvement,,Equitable Education; Academic Habits of Mind,"$76,000 ",36 individuals,Program
12249,Z06.05.02,York University,York University,Advanced Credit Experience,100,0.04%,34,"$2,735 ",73.90%,Reliable,,Positive School Environment,"$93,000 ",46 individuals,Program
12250,Z06.02.02,Vermont Square Parent-Child M…,Vermont Square Parent-Child Mother Goose Program,Parent-Child Mother Goose (PCMG) Program,272,0.11%,272,$344 ,100.00%,Reliable,,Oral Language and Emergent Literacy Gains; Development of Tools for Active Learning,"$93,531 ",272 individuals,Program
12251,Z10.02.01,Grand River Conservation Foun…,Grand River Conservation Foundation,Student Support at GRCA Nature Centres,5000,6.08%,"50,000",$28 ,100.00%,Needs Improvement,,Environmental Awareness,"$1,382,400 ","50,000 individuals",Program
12252,Z08.04.05,Interval House,Interval House,Building Economic Self Sufficiency (BESS),192,0.13%,192,"$5,000 ",100.00%,Needs Improvement,,Housing Stability; Economic Well-Being; Acquire Employment; Job Readiness,"$960,000 ",192 individuals,Program
12254,Z06.01.02,Teach for Canada,Teach for Canada,Growing Teach for Canada's Impact (2017-2018),100,0.04%,97,"$9,124 ",100.00%,Needs Improvement,,Career Access and Readiness; Academic Habits of Mind,"$885,000 ",97 individuals,Program
12255,Z05.03.03,Up With Women,Up With Women,Up With Women,100,0.05%,53,"$7,935 ",66.30%,Reliable: Best in Class,,Job Readiness,"$420,569 ",80 individuals,Program
12258,Z06.05.02,Pediatric Oncology Group of O…,Pediatric Oncology Group of Ontario,Successful Academic and Vocational Transition Initiative (SAVTI),166,0.07%,166,"$2,228 ",100.00%,Needs Improvement,,Access to Quality Resources; Job Readiness; College Persistence and Completion; High School Completion; Independent Living Skills,"$369,839 ",166 individuals,Program
12264,Z06.05.04,Home Suite Hope,Home Suite Hope,Homeward Bound Halton,100,0.04%,9,"$43,783 ",60.00%,Reliable,,Job Quality; Prevent Literal Homelessness through Housing Stabilization,"$394,045 ",15 individuals,Program
12265,Z12.01.04,Girls Inc. of Halton,Girls Inc. of Halton,Summer Day Camp,260,0.16%,260,$655 ,82.50%,Needs Improvement,,STEM Interest; Civic Engagement,"$170,229 ",315 individuals,Program
12266,Z12.01.01,Girls Inc. of Halton,Girls Inc. of Halton,Incubation Lab,100,0.06%,16,"$1,301 ",100.00%,Needs Improvement,,Social and Emotional Skills; Independent Living Skills,"$20,819 ",16 individuals,Program
12267,Z06.05.01,Pathways to Education Canada,Pathways to Education Canada,Core Program Funding to Pathways to Education Canada,3817,1.53%,"3,817","$3,604 ",100.00%,Reliable,,Social and Emotional Skills; School Engagement and Persistence; Independent Living Skills; Reduce Risky Behavior,"$13,757,000 ","3,817 individuals",Program
12268,Z06.05.01,United Way Windsor Essex Coun…,United Way Windsor Essex County,On Track to Success,100,0.04%,100,"$5,491 ",91.70%,Reliable,,Social and Emotional Skills; College Access and Readiness; Improved Academic Performance; School Engagement and Persistence; Reduce Risky Behavior,"$549,075 ",109 individuals,Program
12269,Z10.02.02,WWF-Canada,WWF-Canada,HFRE,5000,6.08%,"40,000",$6 ,100.00%,Needs Improvement,,Influential Research; Conservation Awareness and Responsibility; Reduce National Environmental Impact; Issue Awareness,"$250,000 ","40,000 other",Program
12270,Z10.01.04,Plan International Canada,Plan International Canada,Light to Change a Life,5000,6.08%,"11,160",$35 ,93.00%,Reliable,,Equitable Access; Adequate Sanitation and Hygiene,"$393,750 ","12,000 households",Program
12271,Z12.01.01,YMCA of Greater Toronto,YMCA of Greater Toronto,Youth Leadership Programing,1252,0.78%,"1,252",$879 ,90.00%,Reliable: Best in Class,,None Listed,"$1,100,754 ","1,391 individuals",Program
12272,Z06.05.02,Youth Fusion,Youth Fusion,Youth Fusion Ontario Programming,1396,0.56%,"1,396",$449 ,100.00%,Needs Improvement,,Social and Emotional Skills; Job Readiness; Career Access and Readiness; School Engagement and Persistence; Academic Habits of Mind,"$627,112 ","1,396 individuals",Program
12274,Z12.01.04,Sistema Toronto,Sistema Toronto,Music Education Programming,175,0.11%,175,"$4,619 ",70.00%,Reliable,,Societal Participation; Enhance Arts Appreciation; Reduce Risky Behavior; Improved Academic Performance; Academic Habits of Mind,"$808,393 ",250 individuals,Program
12281,Z05.04.02,Junior Achievement of Washing…,Junior Achievement of Washington,JA World programs - JA Finance Park,5000,2.41%,"6,500",$85 ,95.90%,Reliable,,None Listed,"$550,563 ","6,778 individuals",Program
12284,Z12.01.02,Wide Angle Youth Media,Wide Angle Youth Media,Wide Angle High School Programs (Video and Design Teams),100,0.06%,22,"$58,261 ",91.70%,Reliable: Best in Class,,Strengthen Individual Creativity Skills; Civic Engagement,"$1,281,748 ",24 individuals,Program
12285,Z05.03.01,YWCA Southeast Wisconsin,YWCA Southeast Wisconsin,YWCA Southeast Wisconsin Women's Professional Image Program,535,0.26%,535,$280 ,100.00%,Needs Improvement,,Financial Literacy; Acquire Employment,"$149,691 ",535 individuals,Program
12289,Z12.01.01,Boys & Girls Clubs of Southea…,Boys & Girls Clubs of Southeastern Michigan,Youth for Unity,347,0.22%,347,$217 ,100.00%,Needs Improvement,,Economic Participation,"$75,452 ",347 individuals,Program
12291,Z08.04.05,Center Against Sexual and Fam…,Center Against Sexual and Family Violence,Economic Stability for Survivors of Domestic Violence,373,0.26%,373,$344 ,96.60%,Needs Improvement,,None Listed,"$128,192 ",386 individuals,Program
12293,Z06.01.02,Facing History and Ourselves,Facing History and Ourselves,Northeast Ohio (NEO) Schools Network,5000,2.01%,"6,398",$77 ,100.00%,Needs Improvement,,Social and Emotional Skills; Effective Teachers; Civic Engagement,"$493,740 ","6,398 individuals",Program
12294,Z12.01.01,Middle Country Library Founda…,Middle Country Library Foundation,Allstate Readiness Series - Readiness Begins with Me,344,0.21%,344,$44 ,75.10%,Reliable,,Strengthen Innovation Skills; Strengthen Individual Creativity Skills; Develop Technological Skills; Academic Habits of Mind; Expand User Diversity,"$15,000 ",458 individuals,Program
